Дата;Цена первой сделки;Максим. цена;Миним. цена;Цена последней сделки;Объем торгов, контр.
15.12.2009;137525;139100;136900;139100;464001
16.12.2009;139015;145725;138280;145695;609480
17.12.2009;145800;146950;139955;140690;923624
18.12.2009;140690;143695;140060;142080;598960
21.12.2009;142015;144255;140330;143230;545036
22.12.2009;143195;143590;141500;142535;478971
23.12.2009;142475;144500;141590;143820;374409
24.12.2009;143820;145975;143625;145330;270839
25.12.2009;145260;146235;144630;145365;154605
28.12.2009;145365;146845;145030;146305;125671
29.12.2009;146300;146475;144500;145115;100229
30.12.2009;145175;145220;143320;144100;65767
31.12.2009;144335;147300;143780;147015;14688
11.01.2010;147500;157975;147500;157090;166318
12.01.2010;157275;157455;153400;154450;442697
13.01.2010;154400;155800;151550;153780;525164
14.01.2010;153895;157150;153625;156290;547458
15.01.2010;156035;157620;155050;155500;596680
18.01.2010;155400;159430;154750;159345;494265
19.01.2010;159300;159975;155470;159300;712050
20.01.2010;159210;161115;156165;156295;850189
21.01.2010;156235;157775;153460;153700;957534
22.01.2010;153705;154000;148365;149935;1003671
25.01.2010;150000;151400;147470;149360;876679
26.01.2010;149475;150280;143850;145660;921996
27.01.2010;145500;147415;142930;145340;963294
28.01.2010;145365;149335;143900;146800;951345
29.01.2010;146765;148500;144525;148100;947071
01.02.2010;148020;148020;144955;147710;773844
02.02.2010;147575;150865;147005;150590;757508
03.02.2010;150585;153825;150260;150950;765300
04.02.2010;150950;152230;145300;145765;829647
05.02.2010;145700;145700;139215;141475;1295462
08.02.2010;141090;143000;137240;137600;1171856
09.02.2010;137875;141055;137605;139670;1056026
10.02.2010;139550;142870;137560;138410;1245211
11.02.2010;138530;141770;137750;138705;1160740
12.02.2010;138685;141800;135195;136200;1108132
15.02.2010;136355;137900;136050;137450;603706
16.02.2010;137415;142540;137200;142475;767913
17.02.2010;142465;144395;141775;142180;840317
18.02.2010;142080;142640;138590;140780;898051
19.02.2010;140835;142640;137845;142570;890951
24.02.2010;142610;144160;139055;140675;609082
25.02.2010;140795;142845;136460;137600;888717
26.02.2010;137525;140145;136795;140090;822106
27.02.2010;140000;140740;139300;140650;188589
01.03.2010;140655;143440;140200;142805;652883
02.03.2010;142830;144870;142055;144375;804285
03.03.2010;144395;146505;143145;146300;774836
04.03.2010;146390;148370;144955;146410;835749
05.03.2010;146475;150805;146215;150770;593005
09.03.2010;150790;151830;148640;150595;686039
10.03.2010;150670;152270;149935;150605;681213
11.03.2010;150700;151790;149355;150395;782962
12.03.2010;150685;153910;150155;153895;397414
15.03.2010;152720;152900;150000;150175;652416
16.03.2010;150105;153100;149540;152930;659933
17.03.2010;152880;156420;152405;155455;770759
18.03.2010;155445;156550;153935;154210;770758
19.03.2010;154220;155400;152525;152990;780316
22.03.2010;153055;153195;149875;151525;845777
23.03.2010;151575;153745;150680;151510;932511
24.03.2010;151555;152850;149405;150175;1013018
25.03.2010;150245;151570;149550;151550;766761
26.03.2010;151520;152720;149870;151580;865554
29.03.2010;151480;155075;150270;155020;688619
30.03.2010;155050;156700;154630;155490;750993
31.03.2010;155500;157865;154325;156495;818171
01.04.2010;156500;160400;155855;159885;698464
02.04.2010;159830;161275;159065;159825;461059
05.04.2010;159845;161505;159475;160960;390138
06.04.2010;160940;162495;160440;161200;711320
07.04.2010;161225;161920;158620;158705;751385
08.04.2010;158705;159695;156205;157580;853687
09.04.2010;157585;161170;157585;160300;714165
12.04.2010;160280;163500;158955;161770;783788
13.04.2010;161800;162430;159705;161120;732016
14.04.2010;161125;164550;160835;164195;817729
15.04.2010;164160;165695;163685;165020;775946
16.04.2010;165005;165265;161955;162040;765009
19.04.2010;162035;162035;155590;157330;1147118
20.04.2010;157205;159880;156535;159155;930097
21.04.2010;159165;160830;157570;157955;925151
22.04.2010;157755;158940;154375;155075;1162330
23.04.2010;155015;157875;154765;157865;1023395
26.04.2010;157800;160680;157170;159730;794854
27.04.2010;159830;160045;156350;157510;839104
28.04.2010;157445;157520;152575;153120;1442109
29.04.2010;153190;156065;151110;156000;1167003
30.04.2010;156000;156430;153205;153665;813457
04.05.2010;153750;155180;149100;149185;1224569
05.05.2010;149115;149580;142805;144825;1561282
06.05.2010;144940;145545;141220;141500;1454491
07.05.2010;141355;141355;131200;132315;1720244
11.05.2010;132535;140525;131655;140490;1193824
12.05.2010;140310;148255;139500;147440;1261581
13.05.2010;148000;150875;144140;146860;1345089
14.05.2010;146785;147400;141350;142280;1176602
17.05.2010;142090;142530;137140;141275;1167811
18.05.2010;141030;144750;137675;143335;1243896
19.05.2010;143260;143760;135040;137320;1416213
20.05.2010;137210;139245;128180;128220;1586572
21.05.2010;128395;131685;126110;129295;1692859
24.05.2010;129460;133250;128600;130855;1116496
25.05.2010;130840;131995;120820;121045;1181132
26.05.2010;121090;129690;120965;129575;1073557
27.05.2010;129530;136035;126525;135460;1320524
28.05.2010;135460;137785;133875;135940;1068477
31.05.2010;135800;137550;133015;136905;611320
01.06.2010;136810;137350;131105;136840;992375
02.06.2010;136850;139145;133280;138520;1228753
03.06.2010;138525;143950;138245;139185;1040083
04.06.2010;139295;142850;134125;135245;1264766
07.06.2010;135100;135100;128680;132735;1090330
08.06.2010;132525;135500;129870;130115;1187524
09.06.2010;130160;134165;130160;133175;1053695
10.06.2010;133280;136810;131040;136590;969857
11.06.2010;136545;137890;135270;137680;417922
15.06.2010;134575;139315;133290;139200;890985
16.06.2010;139300;141735;138275;140120;1016736
17.06.2010;140260;142800;137830;139145;1196625
18.06.2010;139230;140775;138000;140385;972953
21.06.2010;140495;146375;140055;146190;751946
22.06.2010;146140;146460;142045;143120;990806
23.06.2010;143030;144055;140405;140855;994235
24.06.2010;140925;142820;139350;140030;999952
25.06.2010;139950;140685;137605;137950;929851
28.06.2010;137765;140720;136505;140130;859835
29.06.2010;140225;140955;133635;134390;842459
30.06.2010;134430;135400;132055;133100;1027098
01.07.2010;133065;133480;127355;127695;1091094
02.07.2010;127555;131350;126920;131080;949299
05.07.2010;131050;131900;130150;130900;558496
06.07.2010;130945;135300;130300;135210;711452
07.07.2010;135135;135280;131570;134935;942963
08.07.2010;135060;137855;135060;135650;938357
09.07.2010;135600;137450;134175;136000;852887
12.07.2010;135770;139375;135215;138680;846801
13.07.2010;138595;142245;137640;141485;962657
14.07.2010;141490;143385;140285;140765;858305
15.07.2010;140855;143540;139585;139900;1047203
16.07.2010;139865;141470;137610;138355;1044278
19.07.2010;138485;140220;137100;139010;817580
20.07.2010;139000;140895;137415;138720;925755
21.07.2010;138530;142420;138530;141600;912755
22.07.2010;141310;145105;139655;144985;1020838
23.07.2010;145000;146040;143955;144650;851733
26.07.2010;144525;147500;144375;146900;846183
27.07.2010;146930;149655;146750;148105;807675
28.07.2010;148055;149300;146440;147355;903157
29.07.2010;147440;150695;146870;150000;790987
30.07.2010;150095;150450;145945;147730;985349
02.08.2010;147700;152385;146795;152100;718072
03.08.2010;152050;153285;150450;151330;859479
04.08.2010;151425;153470;149475;151380;974777
05.08.2010;151390;153050;150220;150975;874183
06.08.2010;150905;152335;149535;150100;806249
09.08.2010;150035;152725;149000;151100;726674
10.08.2010;151190;151635;147055;147995;830939
11.08.2010;147745;149495;144355;144590;1023828
12.08.2010;144530;145450;142165;143515;960378
13.08.2010;143500;145185;142300;143125;841510
16.08.2010;143100;144125;141305;143485;777012
17.08.2010;143155;146320;142825;145550;802518
18.08.2010;145660;146545;144330;145375;764771
19.08.2010;145305;146970;143725;143760;912032
20.08.2010;143860;144160;140805;142025;908628
23.08.2010;141900;142970;140350;141835;962021
24.08.2010;141820;141880;137500;138650;954751
25.08.2010;138550;139700;136740;137420;1048171
26.08.2010;137500;140920;137475;140830;867183
27.08.2010;140765;141825;139115;141375;961790
30.08.2010;141325;143500;141140;142095;695900
31.08.2010;142125;142500;139200;141650;837887
01.09.2010;141700;144955;140535;144855;1018581
02.09.2010;144900;146465;144610;145520;849223
